Country,Share,
Greece,11.80415879,
China,11.03953953,
Japan,10.73293264,
United States of America,7.414305418,
Singapore,5.294459172,
Norway,4.704699937,
United Kingdom,4.395531627,
Germany,3.669042082,
"China, Hong Kong SAR",3.634318676,
"Korea, Republic of",3.498210967,
"Switzerland, Liechtenstein",2.505797248,
France,2.464600487,
Denmark,2.094190782,
"China, Taiwan Province of",1.991576429,
Bermuda,1.980324257,
Italy,1.829588276,
Netherlands (Kingdom of the),1.744525758,
Brazil,1.454936556,
United Arab Emirates,1.391836274,
Russian Federation,1.194857798,
Türkiye,1.179136353,
Indonesia,1.052927232,
India,0.969192626,
Belgium,0.809970615,
Malaysia,0.806386926,
Cyprus,0.78171196,
Qatar,0.581705228,
Canada,0.560743481,
Nigeria,0.556422059,
Viet Nam,0.534325881,
Sweden,0.51817266,
Australia,0.501268273,
Saudi Arabia,0.499466412,
Iran (Islamic Republic of),0.351489196,
Angola,0.350447382,
Finland,0.338019208,
Spain,0.338010284,
Mexico,0.237698041,
Oman,0.209093758,
Thailand,0.187049029,
Ireland,0.177966238,
Egypt,0.162033173,
Bangladesh,0.154778643,
Kuwait,0.146487968,
Israel,0.142081384,
Philippines,0.13878627,
Luxembourg,0.115724832,
Poland,0.105129429,
Libya,0.102667057,
Croatia,0.094772395,
Ghana,0.086933592,
Algeria,0.078422815,
Portugal,0.075243791,
Ukraine,0.074617466,
Chile,0.072079756,
Bulgaria,0.068215424,
Azerbaijan,0.068115334,
Cayman Islands,0.067249063,
Bahamas,0.066407038,
Malta,0.064434138,
Congo,0.061017899,
Equatorial Guinea,0.059394284,
Venezuela (Bolivarian Rep. of),0.057903934,
Argentina,0.050856927,
Romania,0.047981385,
Lebanon,0.046831162,
Estonia,0.042733489,
Namibia,0.038245729,
South Africa,0.033472193,
Pakistan,0.032322259,
Latvia,0.030430211,
Marshall Islands,0.028166657,
New Zealand,0.023707814,
Kazakhstan,0.022835998,
Panama,0.022008322,
Faroe Islands,0.021351898,
Ecuador,0.020986106,
Georgia,0.020507759,
Iraq,0.020450648,
British Virgin Islands,0.020306969,
"Korea, Dem. People's Rep. of",0.020011799,
Tunisia,0.01880296,
Trinidad and Tobago,0.018582779,
Peru,0.016770966,
Seychelles,0.016242476,
Uruguay,0.015904987,
Ethiopia,0.015581775,
Colombia,0.01434074,
Jordan,0.013666774,
Iceland,0.012924034,
Myanmar,0.012559932,
Sri Lanka,0.011813819,
Brunei Darussalam,0.011750973,
French Polynesia,0.011738378,
Suriname,0.010688292,
Liberia,0.009406575,
Lithuania,0.008468126,
Mozambique,0.007970759,
Turkmenistan,0.007722747,
Morocco,0.00756086,
Austria,0.006560867,
Maldives,0.00599884,
Greenland,0.005726969,
Papua New Guinea,0.005689707,
Montenegro,0.005494877,
"Moldova, Republic of",0.005275907,
Bahrain,0.005196406,
Slovenia,0.00516188,
Syrian Arab Republic,0.005068646,
"Tanzania, United Republic of",0.005063515,
Cuba,0.004728174,
Gambia,0.004697928,
Yemen,0.003839341,
Guatemala,0.003383154,
Guyana,0.00311592,
Mauritius,0.002908735,
Fiji,0.0027359,
Cabo Verde,0.002373715,
Paraguay,0.002331515,
Saint Kitts and Nevis,0.0021278,
Cameroon,0.002121464,
"China, Macao SAR",0.002086393,
Costa Rica,0.001678304,
Samoa,0.001591359,
Albania,0.001469396,
Belize,0.001145983,
Gibraltar,0.000897933,
Saint Vincent and the Grenadines,0.000892169,
Honduras,0.000829967,
Kiribati,0.000822289,
Senegal,0.000744282,
Barbados,0.000642629,
Gabon,0.000539861,
Djibouti,0.000539491,
Dominican Republic,0.000529658,
Tuvalu,0.000509153,
Tonga,0.000479509,
Timor-Leste,0.000418931,
Kenya,0.000415265,
New Caledonia,0.000410366,
"Congo, Dem. Rep. of the",0.000406819,
Sudan,0.000283158,
Eritrea,0.000261516,
Cook Islands,0.000197364,
Serbia,0.000181062,
Vanuatu,0.000160336,
Cambodia,0.000157776,
Haiti,0.000150681,
Dominica,0.000125124,
Anguilla,0.000107106,
Antigua and Barbuda,0.000106079,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
